DEFINITION_NAME	[FILL] is/is when	ACTION1	[FILL] the/a	QUANTIFIER	ADJ	AGENT/OBJECT	SCOPE1	QUANITIFIER	ACTION2	OBJECT/PROPERTY	WHEN/WHERE	[FILL] by/through/due to (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
			the			poles			receive	the least direct sunlight	throughout the year								COMPARISON	SW f3ea-d056-792e-2973	d997-0d53-44f5-2036	
selective breeding	is when		an			organism			receives	selective genetic traits	from its parents	by	human design						#2379		231b-e81a-0f32-3c10	
			a			predator		usually	kills	its prey				to	eat it				#2385		952c-f654-fec2-8b06	
the tide	is when				ocean	levels		periodically	rise; fall										#2391		abe7-8ef7-d11e-25ca	
			a			galaxy		is	held together			by	gravity						#2398		f1cc-21ec-dccb-baab	
			a			mass production manufacturing system			makes	products			more cheaply					than a custom manufacturing system	# Q 2739		fad7-a1bb-9d59-339d	
						wheels; gears		usually	move	against other surfaces									#2604		da72-519d-898d-d79f	
						bacteria		can	show	significant trait changes	in the shortest period of time								#2630		4d1f-7c11-b39d-6694	
regulation	is when		an			organism			maintains	a stable internal environment									#2632		dc19-fb2e-ce6f-4a88	
			an		electrical	charge		can	attract	objects								to other objects	#2634		b931-0ef0-ada9-d9da	
				some		hormones			regulate	growth									#2642		5dd1-fe47-22b1-5587	
						traits		can be	determined			by	one pair; many pairs					of genes in an organism	#2646		b514-8bda-4ce6-d5c4	
		eating	oranges; lemons					can	prevent	scurvy									#2651		8874-d3e1-6fb8-c35a	
		using			moving	water	to produce electricity	may	disrupt	local ecosystems									#2654		b51f-8f89-a54a-72a4	
		hormones							regulate	body functions									#2659		ec83-cfcf-d106-10c1	
						matter; energy		is always	conserved		in any physical or chemical process								#2689		9693-e382-d3b7-f2de	
					nonrenewable	resources		will eventually	be depleted										#2694		87e4-0553-c70e-56fa	
			a		fixed	vise			exerts	compression	on	a piece of wood							#2837		f9eb-4767-b4e9-26cc	
			the			atmosphere	of a planet		holds	heat									#2842		a638-5da5-8a67-a55e	
genetic segregation	is when		each		sex	cell			receives	one copy								of each chromosome	#2846		d04d-153d-2125-e975	
					warm	ocean currents			move	to cooler ocean regions		by	convection						#2854		9735-bbb7-0940-71ac	
			a		moving	object		continues	to move		in the same direction at constant speed							unless additional forces are applied	#2855		54f4-dbc4-575a-15a7	
digestion	is when					food			is absorbed	into the blood stream									#2864		c3ab-8259-53c3-28eb	
						amphibians			lay	eggs									#2873 MOVETO PROP-ANIM-REPROD	SW 8d6e-b669-0551-44eb	c0d2-2419-ede7-daef	
			a			human		cannot	survive	the loss of their liver									#2886		df74-c089-805f-77a8	
			a		new	plant			undergoes	early development									#2890		9bd6-98d4-6bbc-a930	
			a			seat belt			applies	force	in the opposite direction of the passenger's motion								#2906		1767-b5b0-075a-dddb	
genetic engineering	is when					scientists			transfer	a section of DNA from one organism	into the DNA of another organism								#2912		7754-388c-780a-9a9f	
			a		digital	clock			produces	light				to	display the time				#2959		1490-8c63-fce2-7578	
					different	kinds of trees			produce	different types of fruit									#2963		010a-8939-1398-c04d	
			a			cell			absorbs	nutrients									#2965		c0e9-e44e-42e5-a1fe	
an autoimmune disease	is when		the			body			attacks	its own tissues									#2966		5463-ce08-8322-55ab	
					red	blood cells			carry	oxygen	throughout the body								#2986		5389-22e2-977b-7e6c	
						cells			copy	DNA									#2988		3649-bc54-c404-3049	
					basic	life functions			occur		in the cells of organisms								#2990		817a-e4c5-87d5-b660	
				all		cells			take in	energy									#2991		2ba2-38f6-22bf-700f	
					gas-efficient	engines			use	less gas; less gasoline									#2992	SW 5fdb-d810-519a-cdc1	c52f-3108-6b06-89fc	
						animals			reproduce				sexually						#2996		f6a5-58cd-2531-d0ae	
asexual reproduction	is when		a		single	parent			passes	inherited traits								to offspring	#2997		17d4-3f1e-ec31-de07	
sexual reproduction in animals	is when					egg; sperm			join									together	#2998		9229-7d09-4e6a-1c72	
				many		people			commute									everyday	#2863		595f-df44-6e6a-9dca	
						Thomas Edison			invented	the light bulb									#3024		6799-b3d6-a78c-964d	
			the		cell	membrane			allows	materials to enter and leave the cell									#3030		95fa-cd75-ee22-ae39	
						volvox			reproduces	sexually									#3057		890c-5c3f-e3c7-8727	
convergent evolution	is when			two		species	in different taxonomic families		develop		in different places							under similar environmental pressures	#3068		cc8c-a9f2-7dfe-2ee4	
			the			universe			started	as a single mass								according to the Big Bang Theory	#3072		cb78-4afe-a7f9-ca1c	
					ecological	succession		often	occurs		after forest fires								#3079		6d57-96c0-c32b-3381	
						gravity		helps	move	blood	through the body								#3085		6aeb-9655-2e10-0fac	
						carbohydrates			store	chemical energy									#3088		12dc-84be-4ad8-1069	
the cell cycle	is when		a			cell			forms	new cells									#3095		b9de-bcf9-a310-3c14	
					multicellular	organisms			produce	more cells		through	cell division						#3096 SOURCEOF	SW 9264-09ee-a495-1260	200e-dfdd-5b47-744d	
						sound			travels	as longitudinal waves									#3109		5748-8e34-2dbb-e9ab	
					sound	waves			spread	in all directions	away from their source								#3111		264f-16ad-34a0-23a1	
			an			object			exerts	an upward force								objects that sit on that object	#3121		087a-a7db-0119-7b14	
					electromagnetic	radiation			is arranged	in the electromagnetic spectrum						by	wavelength; frequency		#3130		56c9-505f-6c16-b7d4	
			an			element			is identified			by	its number of protons						#3137		1c60-3ebb-470c-1ad4	
			the		Milky Way	galaxy			appears									as a glowing band across the night sky	#3139		2544-b803-8031-cad3	
the new moon	is when		the		dark	half	of the moon		faces	the Earth									#3140		7a15-299b-1e0d-5bc9	
denitrification	is when					nitrogen			becomes	part of the lithosphere									#3164		3407-d8cd-58ad-e59f	
nitrogen fixation	is when					nitrogen			becomes fixed							by	bacteria in the soil		#3164		8d20-59d6-1508-0443	
						humans		usually	develop	inventions								that they require	#3173		480f-c3f9-71e8-eccb	
			a		pioneer	organism			populates	an environment recovering from a natural disaster									#3250		1b5d-9672-bf4d-ef84	
						veins			carry	blood								from the body to the heart	#3258		b5c1-08a7-7c54-8dfe	
static electricity	is when					electrons			are exchanged	between objects						through	friction		#3263		8e2d-c1a4-dfbc-59ad	
						roots			hold	soil	in place								#3276		70be-f77b-7def-9453	
						Venus			reflects	more sunlight	toward Earth							than other planets	#3303		b948-ddcc-f32e-aa11	
nuclear fusion	is when				atomic	nuclei	of low atomic number		fuse										#3322		f6d7-8181-7bd1-a7b7	
incomplete dominance	is when					offspring			exhibit	a combination								of a property caused by the genes of its parents	#3324		4fc9-5989-d008-dd3e	
						wildflowers		can	begin	secondary succession									#3329		5b3f-4817-8eb0-fdc2	
						lysosomes			process; eliminate	cellular waste									#3347		a249-0918-4b9b-9222	
						astronauts			wear	spacesuits	in space								#3362		7cd0-bb1c-4d97-45b4	
						waste		must be	removed										#3363		bcbe-e058-fc7d-88b0	
			the			sprouts of seeds			grow		opposite the direction of the pull of gravity								#3370		7f47-4b59-ace0-6cdd	
heredity	is when				genetic	information		is	passed		from one generation to the next								#3373		2173-2584-f301-4f8a	
						reptiles			reproduce			through	internal fertilization						#3383		3aa5-becd-55ee-db81	
						reptiles			produce	amniotic eggs									#3383	SW 03af-608a-1bd5-3912	9e99-bf0f-04dd-26ed	
convection	is when					a liquid			is heated			by	hotter material rising to the top of the liquid						#3393		892f-b95e-de84-6aeb	
sleet	is when					raindrops			freeze		as they fall								#3399		aaf4-2195-9948-4966	
apparent motion 	is when 			an		object			appears	to move			relative	to				another object's perspective; another object's position	not found in existing questions		1d13-2365-305d-1e1b	
						celestial bodies			move	in orbits	in space							around other celestial bodies	not found in existing questions		7324-4a13-8c67-9d8b	
				some		celestial bodies			rotate		in space								not found in existing questions		362f-279b-98c0-b25d	
diurnal motion	is when 					objects	in the sky		appear 	to move		due to	Earth's rotation on its axis						not found in existing questions		c697-5766-b5be-4c74	
wasting a resource	is	reducing	the			amount 	of that resource	without	using	that resource									not found in existing questions		ca9e-d15a-7dc1-d73c	
		wasting 				a resource			harms	that resource									negative impact	SW 0195-aa58-38d7-f3bb	51ea-eb1e-ccfc-096d	
		decreasing				use 	of a resource		protects	that resource									positive impact		c22b-4945-e7c5-54e3	
					physical 	adaptation			helps	individual organisms	in that population			to 	survive; reproduce				physical adaptation is a kind of physical change; physical adaptation help organisms to reproduce; pa has a positive effect on the population	SW 5d54-ce98-822d-70e0 4283-7393-990d-fdb7	fd4a-ee63-d305-515c	
					behavioral	adaptation			helps	individual organisms	in that population			to 	survive; reproduce				breakdown as physical adaptation	SW 8d2c-32e8-fe82-3265 7e7e-d5fc-9eed-018f	83d8-1dca-f435-c1d0	
					positive	impacts	on a species	will	increase	populations	of a species								MOVE TOCHANGE-VEC	SW 68b5-2680-afb6-e02a	a358-72d9-37df-e9f1	
					negative	impacts	on a species	will	decrease	populations	of a species								MOVE TOCHANGE-VEC	SW 83f9-1f31-2097-7a80	4c89-1538-021d-96b2	
						change			helps 	individuals organisms	in that population			to 	survive; reproduce				adaptation is a kind of change; adaptation helps organisms reproduce; adaptation 	SW 624d-8aa4-92e4-8faa 5f43-1c33-197a-fe77	9a1e-26b8-b7a4-2e8a	
Natural selection	is when					organisms	with beneficial traits		survive	competition				to 	reproduce and pass their beneficial traits			onto their offispring; the successive generation			602d-997a-2399-8bc5	
Weight	is 		the 			force of gravity			acting		on an object										74c7-b18c-94ab-2342	
rotation 	is 		the 		circular	movement of an object	around	a		center; axis											4d60-4beb-9c44-d943	
abrasion	is when					rocks			rub	against each other	when being moved								#5466		f846-f07d-051e-3061	
exothermic process	is		a			process		that	releases	energy		through light or heat							#7288	replaced with 08b5-ca53-c1f0-593c, moved to SOURCEOF	3593-5a2b-a423-9b80	
endothermic process	is		a			process		that	requires;absorbs	energy										replaced with 0d27-53e1-1637-e724, moved to REQUIRES	b12a-4a97-cfba-8a9f	
						electric currents			produce	magnetic fields									SOURCEOF	SW b3f7-a264-ae60-8ae7	42b7-6ac8-3bed-d33e	
					genetic	information			is encoded	in genetic code											3ba4-7de7-8125-4e20	
						adult birds		usually	fly												d590-c0af-02ff-b4fa	
						baby birds		can not	fly										affordance	SW 42d2-ca3f-11de-004e	0753-7855-fbf2-f8c6	
the central dogma of molecular biology									begins with	the transcription of DNA									needed to be moved when PRCESSSTAGE-ORDER is able to notify the beginning of a process		bbac-8b14-0705-6c99	
						pairs	of nucleotides		link	two sequences of nucleotides								together			32d6-e92a-d605-251f	
						offspring			receives	half of the genes	from each parent										ac30-1afe-d338-daf3	
						particles	in a liquid		flows past	each other											d242-ec23-dfd4-69d5	
						matter	with variable shape		changes	shape	in different container								movetoCHANGE	SW 2fcc-e1b8-1198-9d11	a8e7-194e-68a5-34e0	
						molecules	in a solid		vibrates	within a fixed place											7d76-beb9-3426-eda6	
			a		polar	substance		can	dissolve		in another polar substance										d050-988f-6b36-ae1b	
				less	dense	liquids; particles in liquids; materials			float		liquids; particiles in liquids; materials							that are more dense			4b8b-1f9b-9227-55b4	
electric shock	occurs when		a			person			contacts	a source of electrical energy											8b2e-d5ea-dff6-b7d1	
dissolving	is when		the			solute			spread	evenly	through the solvent										364c-916c-57f0-8607	
						sand	in water		settles		to the bottom							of water			84d9-3119-01c6-b6ab	
			a			mixture	of solids		can be	separated								easily			1a3c-9605-5763-6a09	
evaporation	is	allowing	a			liquid 			to evaporate					to separate any solid				that was mixed with it			c593-e026-1395-894d	
magnetic separation	is	using	a			magnet			to attract	magnetic material	from the mixture of magnetic and nonmagnetic material										8343-e17a-aae4-11a1	
			the			thermostat			controlls	the radiator											09e2-7cf8-791a-c4b0	
						clouds			block	sunlight	from reaching the ground										19c8-2a83-1f31-ff3e	
						wood			burns												1cee-5a44-7f15-d8c5	
						paper			burns												7aff-2493-b367-3958	
organizing	is	sorting				things							in order			by	their properties				aa4d-8d5a-8578-41c8	
neutralization	is when					an acid			reacts with	a base									neutralization is when an acid reacts with a base; neutralization produce water and salt		7031-6f42-c98f-f8e4	
					negatively charged	particles			are	involved in chemical reactions											d6fe-4f1f-de8d-2ab8	
			the			order of the elements	in periodic table		is determined by	the atomic number								of the elements	new table?		b54e-51b6-ea89-e7cc	
						elements	on the right side of the periodic table		form	ions		by	gaining electrons								24cc-1bc6-f02a-0211	
						elements	on the left side of the periodic table		form	ions		by	losing electrons								1442-95b3-8f9b-5821	
						elements	of alkaline earth metals family		react	with water			actively						PROP-CHEM-REACT	SW 3264-9771-53e4-3ecb	ada9-2fec-8dee-e2c0	
catenation	is when		the 			atoms	of an element		bonding	themselves			in many ways	to	form a chain						d661-946a-ab97-5695	
the Periodic Table	is		a			table			displays	elements											626a-2149-91d3-248e	
						moons			orbit	planets									MOVE TO PROP-ORBIT		f6bf-c93d-b9ba-1302	
				all		planets			orbit	the sun			in the same direction						MOVE TO PROP-ORBIT		584e-a829-3c58-8f99	
						silver			reacts with	nitric acid											85ee-c550-f2a8-521e	
			the			number	in chemical formula		shows	the number of atoms								of each element in a molecule			d42a-9ce6-a782-24a6	
			the 			elements	in the chemical reaction		stays	the same	after the reaction										d91c-b6ac-564d-fdc3	
			an			organism			breaks down	fat				to	release energy						eac7-22a6-9ff2-db0d	
						rain; snow			falls												b4e1-ea6f-3c2d-fdac	
						solar energy		can	warm up 	the air											4b5f-2ed5-7cde-ea24	
						air pressure			affects	wind speed											3012-3c85-5fe5-5dcb	
					cold and dry	climate		can	slow down	the process of weathering									CHANGE-VEC	SW 2989-0c14-f05a-0d33	8963-88af-1251-f67c	
						clouds			reflect	solar energy	back to space								TRANSFER	SW 0bed-3cd0-4c7e-773e	b89c-3f3f-3227-d006	
			an		endothermic	reaction			absorbs	heat energy	from its surroundings										038b-65f8-5e83-61b6	
a hot pack reaction	is when		the			chemicals	inside the bag		interact												68f4-fded-7446-6c79	
					electromagnetic	radiation			distorts	the frequency of the radio waves									CHANGE	SW 7979-8293-8f4a-4767	4bbc-0918-7d63-a9c6	
						radio waves			spread	in all directions											fa63-f877-e24a-ba31	
						waves			travel	differently	in different media										3373-bc25-1f17-1ebd	
						waves			travel	outward	from the source										2b07-0186-5720-8818	
						light waves			travel	as transverse waves											1f31-c338-8bff-2432	
diffraction	is when		the			waves			bends		when passing an edge or opening										f42f-2302-9061-a5a7	
Doppler Effect	is when		the 			frequency	of the waves		changes		when the distance from the wave source changes								moveto CHANGE	SW 44df-5a0a-23f4-7a7b	0274-48f7-7423-92c7	
					longitudinal	waves			travel			through	pattern of compressions and rarefactions								9938-682d-bfb5-a91f	
			a			medium			carries	something	to someplace 										e43a-bbbd-6cb5-1914	
						sound			travels	fastest	through solid								COMPARISON	SW 814a-01e6-cbf5-bad6	f9ec-e385-00dd-f987	
						sound			travels	slowest	through gas									SW 7062-c249-9802-2f3f	48c8-ab22-893a-e784	
						light			travels	faster								than sound	comparison	SW ffe9-e9a3-32d8-7f63	e683-15c7-7c45-4ea1	
						mechanical energy of a system			includes	the sum of kinetic energy and potential energy 	in the system										e019-f493-9bac-5187	
						electromagnetic energy			travels	as electromagnetic waves											863a-bc6c-8c03-249c	
					black	objects			absorbs	the most sunlight									maybe new table?	SW 8ecf-536f-d882-ff06	8481-946f-035e-3aad	
					white	objects			absorbs	the least sunlight										SW a0c7-b0f4-3d60-28cf	f4d5-81fb-7070-bbaa	
						objects	of other colors		absorbs	less amount of sunlight								than black objects		SW 3c5a-d20d-5c28-6b2b	1082-4506-4e62-c788	
						bands; ranges	of frequencies of light waves		is called	electromagnetic spectrum											b190-6cd5-1d54-842a	
	the					moon			rotates on	its axis											e202-3f7d-7259-9efa	
						daylight			occurs		during the day								DURING	SW c354-58fd-8d25-d949	4ad3-64a8-4c4a-f568	
						darkness			occurs		at night								DURING	SW 04a9-7e5a-7889-df49	5d5c-f359-b050-e789	
						nuclear fusion			occurs		in the sun's core								LOCATION	SW 04ec-17a2-1dcb-c393	4dd2-91f0-c684-e29b	
						sunspots			occurs		on the photosphere								LOCATION	SW a9bc-194d-8a58-2deb	1275-44b2-be65-2b87	
			a			star's mass			determines	the star's type											23b2-6887-354c-8c29	
						clouds; dusts			block	visible light											50b3-4849-c938-c284	
the new moon	is when		the		lighted	half	of the moon		faces	the Sun											bb05-85fe-5214-0da7	
the effect of halos	is when		the			ice crystals			reflect	light	in the atmosphere										c86b-c12f-967f-9a66	
						light			comes to	the focal point	after passing the convex lens								MOVETO TRANSFER	SW 6762-80f2-9c0c-f505	1f5a-2541-51d2-03ac	
			the			asteroid belt			orbits	the sun									MOVE TO PROP-ORBIT-ROT		cc3e-7951-f80d-9519	
						stars			make	their own light									SOURCEOF	SW d567-d49e-293e-95bf	2e9d-a602-afd7-3e47	
						going to school		generally	occurs		during the day								MOVE TO DURING	SW 9800-ab01-6d69-41ef	3214-a026-be89-7c8e	
		getting			ready for	bed		generally	occurs		at night								MOVE TO DURING	SW c4a6-7148-fa68-c5d0	6146-e4c0-cea5-a59a	
						nuclear fusion	in a star's core		generates	energy				for	the star to (burn, shine)				MOVE TO SOURCEOF	SW 07c6-6564-4fda-1489	8311-5fc6-4f54-102c	
						protons and neutrons			are formed		during nuclear fusion								MOVE TO FORMEDBY	SW 2aad-eed1-c229-9318	1fd3-89c5-66b6-cc7d	
					small	stars			burn									for billions of years			c7c6-7be0-9270-7269	
						stars			change	type	during their life cycles								MOVETO CHANGE	SW 7371-ffed-8403-0337	76bf-a390-118e-daa4	
						nuclear fusion			converts	hydrogen into helium										SW be6c-78e9-7762-22e3	9918-37ee-ef72-cd4a	
						planets			reflect	the light								of the sun			e5f7-f7b8-e54c-8df9	
		flipping	a			switch			completes	an electrical circuit											6901-c382-8d12-6e03	
			a			junction			leads to	more than one pathway											6a76-db35-349a-8e26	
convection	is when		the		heated	part of gas			rises												e684-ed12-2c74-c5cc	
a solar eclipse	is when		the			Moon			blocks	the Earth								from the sun			6db5-5ffb-48c0-90d0	
a lunar eclipse	is when		the			Earth			blocks	the Moon								from the sun			9027-faa9-2ae9-669d	
					household	appliances			are connected in	parallel circuit											060e-e1dc-4c04-f5e2	
						quasars			emit	large amounts of light									MOVETO SOURCEOF	SW e3b6-acd7-fc99-5bcb	7cb9-8eba-7738-7002	
shooting stars	occur when				small	meteoroids			enter		Earth's atmosphere										4581-842d-0b23-479a	
						astronauts			live		on a space station							while in outer space	MOVE TO HABITAT	SW 90b2-0a49-2264-8c1b	405c-f763-c8f0-13b2	
spring tide	is when		the			distance	between high tide and low tide		is	the greatest									rephrase		de83-894c-0bb6-4cec	
			the			radio			receives	radio waves											8881-b429-6c8d-e218	
					high-efficiency	device			uses	less energy									COMPARISON	SW a0e1-11ea-7e9f-a6bd	ba2f-1b39-7f47-cad5	
			the			heat energy	produced by the light bulb		is not used												122a-0abf-64db-2b9d	
						muscular movement			helps	animals move											eab1-bd74-10b3-e71c	
active transport	is when					particles			move across	the cell membrane			against the concentrantion gradient						MOVE TO TRANSFER	SW 7aa7-d95f-3c98-6585	871e-601e-6000-c6a2	
aurora	is	created by			charged	particles			interacting with	magnetosphere									FORMEDBY	SW 4332-8160-01d0-0924	e93e-4fe8-8644-5647	
			the		photosynthetic	life			performs	photosynthesis											4509-bfe2-61ad-8a15	
						greenhouse gases			heat	the atmosphere		by	absorbing infrared radiation released by Earth						breakdown the fact	SW 244e-0024-b731-9ef5 f058-dc42-3994-4b33 d753-423d-5ce7-53ce	f36d-2454-17e6-5c90	
						greenhouse gases			absorbs	the infrared radiation								reflected by Earth			f058-dc42-3994-4b33	
						terrestrial organisms			are exposed to	the sunlight											9c5e-9ef5-f235-1a36	
						comets			reflect	the light								of the sun			510b-0c37-bdf1-bc97	
						substances			have	chemical properties									PROPTHINGs	SW d4a5-b86b-d960-183f	760d-a151-5c82-d6c5	
		acquiring				fossil fuels			is	dangerous								for the environment			5dd5-792a-bfa8-6275	
						renewable resources			are	replenished								more quickly than they are used	MAYBE NEW TABLE?	SW 9997-39e4-b71d-1e0d	b035-14b1-8601-19d0	
		renewing				soil			increases	nutrients in the soil									MOVE TO CHANGE-VEC	SW 900e-36d2-bd30-b664	3d47-6c34-3450-a5bb	
						irrigation			depletes	nutrients in the soil									MOVE TO CHANGE-VEC	SW f9a8-bec1-1996-c6c6	5b71-4e3d-d066-256a	
						crops			grow		in soil										9eae-84e3-fc7e-69c9	
						overgrazing			increases	soil erosion									MOVE--CHANGE-VEC	SW 646c-da3a-5908-e79a	92df-0045-17c9-8ba5	
		growing				legumes			provide	nitrogen				for other plants					MOVE TO SOURCEOF	SW bf8f-67f6-0171-a2ae	dca4-db0c-dfbd-25b9	
						tree roots			reduce	soil erosion									MOVE TO CHANGE-VEC	SW 08a7-34bf-d1a2-f681	2996-0b6b-14c4-7682	
						grass roots			reduce	soil erosion										SW 3f27-9a07-5cec-f5dd	dbcf-a20c-58fa-486f	
						terraces			reduce	soil erosion	on slopes									SW 0d31-d7e8-8d61-aea5	2f69-06ad-27b9-22ef	
						no-till farming			reduces	soil erosion										SW 18cf-0d09-294a-b89d	fd21-2366-db54-d9c2	
					continental	land masses			absorb	solar energy											ce8b-4c3e-2779-8f9e	
			the		southern	United States			receives	a lot of sunlight											7a1c-b299-ea7c-ef99	
						trees			reduce	wind force									move to CHANGE-VEC	SW fa5f-cd12-8111-9991	7b44-c928-d4a8-5631	
						people		can	plant	trees									MOVE TO AFFORDANCE	SW 0639-5ec7-1e0d-ed5a	99da-9232-bd7f-4be6	
						water			exists in	liquid;solid;gas state	on Earth										e7e6-0a8e-4db4-7402	
						hydroelectric power			uses	water				to	generate electricity				MOVE TO SOURCEOF	SW bb20-e0e5-41ea-87c6	9c75-4e4b-7b2c-e2f6	
						turbidity		can	affect	the health								of a river system	MOVETO MEASUREMENT	SW 566a-b817-d6e3-ac67 c317-de40-fe64-2eab	dfe4-2e42-d8b5-e319	
						nitrate levels		can 	affect	the health								of a river system	MOVETO MEASUREMENT, add affect	SW 0bae-2d29-b100-5498 fc55-35a0-19ff-8876	bd25-4b9d-6d74-9bc5	
						subduction			involves	a large amount of thermal energy									MOVE TO TRANSFER; CHANGE	SW 8b6d-8ee9-c1b5-850f 7bbc-74be-96f0-3ec8 a99b-2a74-d170-fbee	bbd6-0573-5b56-89c9	
						subduction process			involves	a large amount of thermal energy											a99b-2a74-d170-fbee	
					Nevada	mines			produce	gold									MOVE TO SOURCE OF	SW c8e2-98be-74c4-ed66	dbfd-aedb-7345-0e73	
						uranium			is acquired			by	mining the lithosphere								fc75-8d81-0fda-3d2e	
						fossil fuels			are acquired			by	mining the lithosphere								9cbb-ed49-3d48-75f4	
						surface mining			affects	the lithosphere; the biosphere									MOVE TO AFFECT	SW 82a5-5e1e-7762-dfc4	c077-da98-7f5e-6766	
						Nevada			produces more	gold								than any other state	MOVE TO SOURCEOF	SW c8e2-98be-74c4-ed66	65f9-9e7a-9750-b9e3	
						fossil fuels			release	carbon dioxide	into the atmosphere								SOURCEOF	SW 1cfe-ae6c-8ca4-2bd2	3881-0fe6-6ff7-2b51	
						glass		can	be reused									many times	[glass is recyclabe] [recyclable means can be reused]	SW e9e6-b7d7-00ca-bd11 f450-c52a-cebe-ac01	4483-b8eb-e31d-f01a	
		discarding				aluminum cans			wastes	aluminum											f138-259d-31eb-fea4	
		leaving	a			faucet	on		wastes	water											fb68-314c-01f4-4194	
		destroying				animal habitats			changes	an ecosystem									MOVETO CHANGE	SW 8128-ebc7-48de-df5d	96ea-0de3-6ab7-2b33	
						mountains		can	limit	the water vapor					reaching a location						4fbc-136a-0180-b884	
					darker	objects			absorb	more light								than light colored objects			6964-670b-e8d3-728c	
			the			hydrosphere			covers	the surface	of the earth		with a thin layer of water								61a2-a637-1622-8e7c	
			a			water reservoir			stores	water									MOVE TO CONTAIN	SW 05be-c29c-dfe4-7212 3b3b-1bbf-c9ce-ef12	cefe-3324-8ad0-9949	
			a			water reservoir			stores	water											3b3b-1bbf-c9ce-ef12	
						glaciers			cover	10% of land 	on Earth										8b49-0dfa-e6e0-48c1	
upwelling	is when		the			water	from deep ocean; the ocean floor		rises to	the ocean's surface									MOVE TO TRANSFER	SW 253f-7eef-c385-b4ee	f067-7b15-5fdc-bc3d	
						upwelling			moves; brings; cycles	the nutrient- rich water	to the ocean's surface								MOVE TO PROPTHING	SW 253f-7eef-c385-b4ee c64c-b2a8-8dbf-e1dd	6191-9df5-646b-0c73	
						upwelling			brings	sea water with dissolved carbon dioxide	to the ocean's surface								MOVE TO PROPTHING	SW d41e-036c-177f-31ac 253f-7eef-c385-b4ee	983e-a44d-c412-5264	
						organisms			lived	in the water	when they first appeared							on Earth			720f-6da1-8a89-f546	
the emission of something	is when					something			is added into	the atmosphere											68e7-d61a-6146-b526	
deflection	is when					something			changes	its moving direction									MOVE TO CHANGE	SW 6ee2-6f91-4689-ec27	fbe4-4726-6050-dd63	
						ocean currents			move away	most heat	from Earth's equator										25c2-2137-94f8-4d9b	
			the			equator			receives	more sunlight								than the poles on Earth	comparison?	SW 6f54-6f77-4dff-56e3	b401-733c-cfa3-138b	
			the			water	at the surface of the ocean		absorbs	more sunlight								than the water at the bottom of the ocean	comparison?	SW 15c1-19fd-1416-7448	993f-8842-44c2-a93e	
			the			ocean  			stores	more heat								than the continents	comparison?	SW 0bc3-7b35-46cc-8d7d	95c4-489b-e978-b0e3	
			the			ocean			transfers	more heat								than the continents	comparison?	SW 006e-efd2-0196-9de3	0b1c-d840-3841-51e3	
						red giant stars			burn	at cooler temperatures								than main sequence stars	MOVE TO comparison	SW e31c-548b-06b7-3674 ced1-06b4-a06c-4576	35fb-5ebd-12a6-28e2	
						stars			spend	most of their life cycle	in the main sequence stage										4dcb-e3c0-5556-bb8c	
						red giant stars			have	greater volume								than main sequence stars	MOVETO COMPARISON	SW abd0-0bef-48f6-1764	3af1-3b9d-1072-7785	
the red giant stage	is when					a star			runs out of	hydrogen											ab7a-5b27-698c-abfe	
			the		last	stage	of a life cycle		occurs		at the end of a life cycle										1b5d-d4eb-509c-bf83	
						living things			carry out	basic life functions											c241-e5da-26cd-1439	
a relationship	occurs when					two or more things			interact with	one another											bb97-feda-5f97-40c0	
anatomy									studies	the body structure								of organisms			c6dc-0193-c2ce-58d1	
						bacteria			grow		in a bacterial culture										835a-83e8-55d6-b9e0	
						objects	with the same electric charge		move	apart 	when they are close to each other								MOVED TO IFTHEN	SW 605c-4908-fb48-3ca6	f600-5b56-acbf-75b9	
						atomic mass			is determined by	the sum of protons and neutrons numbers								in an atom			8ab0-26dc-573b-9c25	
					metal	atoms			tend to lose	electrons											2dd9-3ea1-4c0c-3076	
						neutrons			add	mass	to the nucleus										8aa3-8840-b7ba-2bc3	
						nucleus			is surrounded by	almost empty space								in an atom			af86-81d9-cce3-658d	
						electrons			take up	the majority of the volume								of an atom			0ae3-c019-3e9a-71ac	
						human hair			tend to lose	electrons											526f-215d-1f8a-8c6f	
			the			location	of an electron		is determined by	the energy								of the electron	separate into two facts,54c5-ce96-6653-3b9e		4c2a-9c14-f3e5-8a5d	
			the			location	of an electron		is determined by	the attraction								of the nucleus			54c5-ce96-6653-3b9e	
			the			tendency of an element to react chemically			is determined by	the number								of valence electrons	need help		609d-7a3f-35c8-7524	
						surface mining			removes	the vegetation; rocks	above the coal										0074-3e50-1f32-7654	
						sand			drains	water  								quickly			eea2-57ec-4047-ea19	
						clay			retains	water  											50b9-7f9e-4af1-7212	
						crop rotation			interrupts	the life cycles								of pests			e06d-6a4e-b088-6424	
						volcanic eruption			destroys	the ecosystem 	around it										e54b-0888-f3da-2bc4	
						long shore currents 			strike 	beaches			at small angles								188e-d076-3632-524b	
						long shore currents 			create	sandbars	on the beach	by	moving sand						MOVE TO FORMEDBY	SW 0a4e-97e3-1657-939e	426c-5c18-7c28-c660	
